File Server,Access Path,SID,Permissions
XM001WB4.monoprix.lan,C:\$Recycle.Bin\S-1-5-21-1814001345-345268950-1373009395-61325,S-1-5-21-1814001345-345268950-1373009395-61325,FMRWXL
XM001WB4.monoprix.lan,C:\ProgramData\Microsoft\DeviceSync,S-1-5-21-2368737556-638753688-885173221-501,(FMRWXL)
XM001WB4.monoprix.lan,C:\ProgramData\Microsoft\Network\Connections,S-1-5-80-3906544942-1489856346-3706913989-164347954-1900376235,FMRWXL
XM001WB4.monoprix.lan,C:\Users\adm_dch,S-1-5-21-1814001345-345268950-1373009395-61325,FMRWXL
XM001WB4.monoprix.lan,C:\Users\adm_dch\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_dch\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_dch\AppData\Local\Microsoft\Windows\WER,S-1-5-21-1814001345-345268950-1373009395-61325,FMRWXL
XM001WB4.monoprix.lan,C:\Users\adm_dch\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_dch\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_dch\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_JAR\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_JAR\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_JAR\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_JAR\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_JAR\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_llg\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_llg\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_llg\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_llg\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_llg\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_lod\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_lod\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_lod\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_lod\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_lod\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_pma\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_pma\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_pma\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_pma\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_pma\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_prj\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_prj\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_prj\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_prj\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_prj\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_pse\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_pse\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_pse\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_pse\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_pse\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_rle\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_rle\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_rle\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_rle\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_rle\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_sab\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_sab\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_sab\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_sab\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_sab\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_sca\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_sca\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_sca\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_sca\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_sca\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\adm_wad\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_wad\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_wad\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\adm_wad\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\adm_wad\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\admcit_cd\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_cd\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_cd\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_cd\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\admcit_cd\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\ADMCIT_CVE\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\ADMCIT_CVE\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\ADMCIT_CVE\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\ADMCIT_CVE\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\ADMCIT_CVE\Favorites,S-1-15-3-4096,RWXLS
XM001WB4.monoprix.lan,C:\Users\ADMCIT_GA\AppData\Local\Microsoft\Feeds,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\ADMCIT_GA\AppData\Local\Microsoft\Internet Explorer\Tracking Protection,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\ADMCIT_GA\AppData\Roaming\Adobe\Flash Player\NativeCache,S-1-15-3-4096,RXL
XM001WB4.monoprix.lan,C:\Users\ADMCIT_GA\AppData\Roaming\Microsoft\SystemCertificates\My,S-1-15-3-9,RXL
XM001WB4.monoprix.lan,C:\Users\ADMCIT_GA\Favorites,S-1-15-3-4096,RWXLS
